"surname","count","pctwhite","pctblack","pctapi","pcthispanic","pctothers"
"SMITH",2376206,73.3426657334267,22.2177782221778,0.3999600039996,1.55984401559844,2.47975202479752
"JOHNSON",1857160,61.55,33.8,0.42,1.5,2.73
"WILLIAMS",1534042,48.52,46.72,0.37,1.6,2.79
"BROWN",1380145,60.7160716071607,34.5434543454345,0.41004100410041,1.64016401640164,2.69026902690269
"JONES",1362755,57.69,37.73,0.35,1.44,2.79
"MILLER",1127803,85.8014198580142,10.4089591040896,0.41995800419958,1.42985701429857,1.93980601939806
"DAVIS",1072335,64.73,30.77,0.4,1.58,2.52
"GARCIA",858289,6.17061706170617,0.49004900490049,1.43014301430143,90.8190819081908,1.09010901090109
"RODRIGUEZ",804240,5.52055205520552,0.54005400540054,0.58005800580058,92.7092709270927,0.65006500650065
"WILSON",783051,69.72,25.32,0.46,1.73,2.77
"MARTINEZ",775072,6.04120824164833,0.520104020804161,0.600120024004801,91.7383476695339,1.1002200440088
"ANDERSON",762394,77.5922407759224,18.0581941805819,0.47995200479952,1.57984201579842,2.28977102289771
"TAYLOR",720370,67.8,27.67,0.39,1.61,2.53
"THOMAS",710696,55.53,38.17,1.63,1.66,3.01
"HERNANDEZ",706372,4.54954504549545,0.37996200379962,0.64993500649935,93.8006199380062,0.61993800619938
"MOORE",698671,68.8568856885689,26.9226922692269,0.37003700370037,1.5001500150015,2.35023502350235
"MARTIN",672711,77.47,15.3,0.71,3.99,2.53
"JACKSON",666125,41.9258074192581,53.014698530147,0.30996900309969,1.52984701529847,3.21967803219678
"THOMPSON",644368,72.48,22.53,0.44,1.62,2.93
"WHITE",639515,67.91,27.38,0.39,1.55,2.77
"LOPEZ",621536,5.85,0.61,1.04,91.51,0.99
"LEE",605860,40.09,17.41,37.83,1.34,3.33
"GONZALEZ",597718,4.75952404759524,0.36996300369963,0.37996200379962,93.980601939806,0.50994900509949
"HARRIS",593542,53.8853885388539,41.6341634163416,0.36003600360036,1.45014501450145,2.67026702670267
"CLARK",548369,76.84,18.53,0.41,1.68,2.54
"LEWIS",509930,60.97,33.83,0.45,1.64,3.11
"ROBINSON",503028,51.3451345134513,44.1044104410441,0.37003700370037,1.68016801680168,2.5002500250025
"WALKER",501307,61.25,34.17,0.35,1.6,2.63
"PEREZ",488521,5.95,0.48,1.18,91.65,0.74
"HALL",473568,75.11,20.75,0.48,1.4,2.26
"YOUNG",465948,68.91,23.79,2.95,1.69,2.66
"ALLEN",463368,70.2329767023298,25.1374862513749,0.40995900409959,1.61983801619838,2.5997400259974
"SANCHEZ",441242,5.77,0.5,1.01,91.78,0.94
"WRIGHT",440367,68.3068306830683,27.3627362736274,0.4000400040004,1.52015201520152,2.41024102410241
"KING",438986,72.8,22.02,0.88,1.62,2.68
"SCOTT",420091,62.6,32.26,0.41,1.68,3.05
"GREEN",413477,59.33,36.23,0.34,1.71,2.39
"BAKER",413351,82.08,13.63,0.45,1.47,2.37
"ADAMS",413086,76.17,19.2,0.45,1.76,2.42
"NELSON",412236,80.2980298029803,14.9314931493149,0.51005100510051,1.68016801680168,2.58025802580258
"HILL",411770,66.83,28.42,0.42,1.64,2.69
"RAMIREZ",388987,4.4,0.29,0.97,93.67,0.67
"CAMPBELL",371953,76.47,19.13,0.43,1.65,2.32
"MITCHELL",367433,63.55,31.52,0.39,1.63,2.91
"ROBERTS",366215,79.5679567956796,15.8615861586159,0.47004700470047,1.58015801580158,2.52025202520252
"CARTER",362548,60.51,34.99,0.39,1.52,2.59
"PHILLIPS",351848,78.9421057894211,16.3583641635836,0.44995500449955,1.57984201579842,2.66973302669733
"EVANS",342237,70.65,25.05,0.4,1.55,2.35
"TURNER",335663,66.6766676667667,29.3129312931293,0.33003300330033,1.4001400140014,2.28022802280228
"TORRES",325169,6.05,0.58,1.42,91.16,0.79
"PARKER",324246,71.49,24.09,0.44,1.46,2.52
"COLLINS",317848,73.92,21.7,0.37,1.61,2.4
